,im1_x,im1_y,im2_x,im2_y
0,5.8311688311688386,443.77759740259734,3.3961038961039094,446.21266233766227
1,1.5698051948052125,203.9237012987012,6.439935064935099,202.70616883116872
2,2.178571428571445,4.857142857142719,4.613636363636374,4.857142857142719
3,137.32467532467533,2.42207792207779,154.97889610389612,5.465909090908951
4,296.82142857142856,4.248376623376487,296.2126623376623,4.857142857142719
5,297.4301948051948,197.83603896103887,295.6038961038961,210.62012987012974
6,295.6038961038961,445.60389610389603,297.4301948051948,445.60389610389603
7,153.76136363636365,448.03896103896096,161.06655844155844,446.21266233766227
8,7.0487012987013316,356.7240259740259,16.788961038961048,378.6396103896103
9,25.3116883116883,345.76623376623365,47.22727272727272,362.202922077922
10,53.92370129870133,332.37337662337654,74.01298701298705,343.3311688311687
11,83.75324675324677,312.2840909090908,98.3636363636364,325.06818181818176
12,98.97240259740263,297.06493506493496,108.71266233766235,309.24025974025966
13,98.97240259740263,277.5844155844155,97.75487012987011,286.1071428571428
14,82.5357142857143,239.840909090909,85.57954545454547,244.10227272727263
15,67.92532467532467,202.0974025974025,60.011363636363654,183.83441558441547
16,67.92532467532467,153.3961038961038,65.49025974025975,143.65584415584402
17,95.92857142857142,107.73863636363626,88.62337662337663,111.99999999999989
18,141.58603896103895,95.56331168831156,149.50000000000003,94.95454545454533
19,198.81006493506496,115.65259740259728,206.11525974025975,111.99999999999989
20,222.55194805194807,166.7889610389609,226.20454545454547,171.65909090909082
21,222.55194805194807,220.36038961038952,221.94318181818184,231.3181818181817
22,208.55032467532467,275.1493506493506,217.07305194805193,289.75974025974017
23,221.94318181818184,311.6753246753246,229.24837662337663,306.8051948051947
24,254.2077922077922,332.9821428571428,257.25162337662334,312.2840909090908
25,288.90746753246754,349.41883116883105,284.0373376623377,323.24188311688306
26,112.36525974025975,290.3685064935064,124.54058441558445,319.58928571428567
27,142.19480519480518,315.327922077922,151.32629870129873,336.63474025974017
28,181.15584415584416,308.0227272727272,189.67857142857142,329.9383116883116
29,202.46266233766235,288.5422077922077,210.37662337662337,303.1525974025973
30,119.0616883116883,210.0113636363635,125.75811688311691,224.62175324675314
31,181.15584415584416,199.66233766233756,186.02597402597402,217.9253246753246
32,151.93506493506496,210.0113636363635,156.19642857142858,227.05681818181807
33,138.5422077922078,242.88474025974017,142.80357142857142,261.75649350649337
34,172.02435064935068,240.44967532467524,178.72077922077924,256.8863636363635
35,134.8896103896104,276.36688311688306,134.28084415584416,294.62987012987
36,162.89285714285714,278.19318181818176,163.50162337662337,301.9350649350648
37,179.9383116883117,269.0616883116882,189.67857142857142,286.715909090909
38,170.19805194805198,263.5827922077921,177.50324675324677,278.801948051948
39,150.7175324675325,266.01785714285705,151.32629870129873,283.67207792207785
40,133.67207792207793,366.46428571428567,131.84577922077924,395.6850649350649
41,170.80681818181822,399.9464285714285,177.50324675324677,424.29707792207785
42,206.72402597402598,348.8100649350648,209.1590909090909,379.24837662337654
